
RAID device 
   343072 Mbyte of  343308 MByte available for I/O
   342636 MByte of  343072 MByte in use,     436 MByte free
     4158 Files of   85768 Files in use,   81610 Files free

 FileID     MeasID                        ProtName                         PatName   Status         Size   SizeOnDisk          CreationTime             CloseTime dependent files (fileID)
  11752        366      CV_spiral_cine_32shot_4seg                          xxxxxx      cld      1257600      4194304   26.02.2018 11:03:13   26.02.2018 11:03:19 11691, 11691
  11751        365      CV_spiral_cine_32shot_4seg                          xxxxxx      cld      1255360      4194304   26.02.2018 11:02:59   26.02.2018 11:03:05 11691, 11691
  11750        364      CV_spiral_cine_32shot_2seg                          xxxxxx      cld    146364544    146800640   26.02.2018 11:01:45   26.02.2018 11:02:48 11743, 11743
  11749        363      CV_spiral_cine_32shot_2seg                          xxxxxx      cld    246311744    268435456   26.02.2018 11:00:23   26.02.2018 11:02:48 11743, 11743
  11748        362         CV_spiral_cine_realtime                          xxxxxx      cld      1275808      4194304   26.02.2018 10:59:22   26.02.2018 10:59:57 11691, 11691
  11747        361         CV_spiral_cine_realtime                          xxxxxx      cld      1285600      4194304   26.02.2018 10:58:17   26.02.2018 10:58:53 11691, 11691
  11746        360                  CV_spiral_cine                          xxxxxx      cld     73872928     75497472   26.02.2018 10:56:44   26.02.2018 10:57:14 11743, 11743
  11745        359                          AdjFre                          xxxxxx      cld       751328      4194304   26.02.2018 10:56:42   26.02.2018 10:56:43
  11744        358                  CV_spiral_cine                          xxxxxx      cld     70532160     71303168   26.02.2018 10:55:26   26.02.2018 10:55:56 11743, 11743
  11743        357                AdjQuietCoilSens                          xxxxxx      cld     25606176     29360128   26.02.2018 10:55:15   26.02.2018 10:55:22
  11742        356                          AdjFre                          xxxxxx      cld       750016      4194304   26.02.2018 10:55:14   26.02.2018 10:55:15
  11741        355                  CV_spiral_cine                          xxxxxx      cld      1262784      4194304   26.02.2018 10:54:46   26.02.2018 10:54:48 11691, 11691
  11740        354            trufi_loc_multi_iPAT                          xxxxxx      cld     38989536     41943040   26.02.2018 10:54:10   26.02.2018 10:54:19 11691, 11691
  11739        353                  CV_spiral_cine                          xxxxxx      cld      1260672      4194304   26.02.2018 10:53:56   26.02.2018 10:54:02 11691, 11691
  11738        352               3-Plane localizer                          xxxxxx      cld     68531936     71303168   26.02.2018 10:52:25   26.02.2018 10:52:41 11691, 11691
  11737        351                  CV_spiral_cine                          xxxxxx      cld      1259616      4194304   26.02.2018 10:52:13   26.02.2018 10:52:19 11691, 11691
  11736        350                  CV_spiral_cine                          xxxxxx      cld      1260736      4194304   26.02.2018 10:51:51   26.02.2018 10:51:56 11691, 11691
  11735        349               3-Plane localizer                          xxxxxx      cld     68562496     71303168   26.02.2018 10:50:12   26.02.2018 10:50:30 11691, 11691
  11734        348           CV_spiral_cine_32shot                          xxxxxx      cld      1259136      4194304   26.02.2018 10:49:59   26.02.2018 10:50:05 11691, 11691
  11733        347         CV_spiral_cine_realtime                          xxxxxx      cld      1299840      4194304   26.02.2018 10:48:38   26.02.2018 10:49:15 11691, 11691
  11732        346               3-Plane localizer                          xxxxxx      cld     68544160     71303168   26.02.2018 10:48:16   26.02.2018 10:48:32 11691, 11691
  11731        345         CV_spiral_cine_realtime                          xxxxxx      cld      1304064      4194304   26.02.2018 10:47:17   26.02.2018 10:47:55 11691, 11691
  11730        344         CV_spiral_cine_realtime                          xxxxxx      cld      1304064      4194304   26.02.2018 10:46:06   26.02.2018 10:46:41 11691, 11691
  11729        343        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld     82708928     83886080   26.02.2018 10:44:03   26.02.2018 10:44:08 11718
  11728        342        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld     82708928     83886080   26.02.2018 10:43:48   26.02.2018 10:43:53 11718
  11727        341        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld     82708928     83886080   26.02.2018 10:43:21   26.02.2018 10:43:26 11718
  11726        340        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld     35707328     37748736   26.02.2018 10:42:57   26.02.2018 10:43:01 11718
  11725        339        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld     36321792     37748736   26.02.2018 10:42:39   26.02.2018 10:42:43 11718
  11724        338        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld     35031552     37748736   26.02.2018 10:42:26   26.02.2018 10:42:30 11718
  11723        337        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld    103352832    104857600   26.02.2018 10:41:59   26.02.2018 10:42:10 11718
  11722        336                          AdjFre                          xxxxxx      cld       779648      4194304   26.02.2018 10:41:58   26.02.2018 10:41:59
  11721        335                     AdjFieldMap                          xxxxxx      cld     90604480     92274688   26.02.2018 10:41:12   26.02.2018 10:41:57
  11720        334                          AdjFre                          xxxxxx      cld       779648      4194304   26.02.2018 10:41:11   26.02.2018 10:41:11
  11719        333        MiniIRT_Spiral_libIRT_MS                          xxxxxx      cld     35029472     37748736   26.02.2018 10:40:23   26.02.2018 10:40:27 11718
  11718        332                AdjQuietCoilSens                          xxxxxx      cld     16740160     16777216   26.02.2018 10:40:19   26.02.2018 10:40:20
  11717        331                          AdjFre                          xxxxxx      cld       778304      4194304   26.02.2018 10:40:17   26.02.2018 10:40:18
  11716        330       Cor T1map MOLLI pre BW550                          xxxxxx      cld     38450784     41943040   26.02.2018 10:37:51   26.02.2018 10:38:31 11691, 11691
